30.83,-91.39,Cfa
80.36,-66.1,ET
73.64,-80.94,ET
46.86,-116.29,Dsb
31.67,-113.46,BWh
36.72,-98.12,Cfa
81.91,-29.18,EF
67.66,-123.48,Dsc
68.46,-165.1,ET
46.28,-102.99,BSk
66.27,-157.11,Dsc
48.11,-93.81,Dfb
15.76,-92.83,Aw
37.48,-109.56,BSk
26.58,-98.42,BSh
50.13,-106.89,Dfb
63.99,-84.79,ET
78.54,-72.47,ET
41.15,-115.12,BSk
43.86,-89.45,Dfb
50.66,-81.51,Dfb
44.59,-84.37,Dfb
23.51,-103.22,BSk
52.71,-69.69,Dfc
65.15,-140.97,Dfc
59.32,-95.01,Dfc
50.46,-126.46,ET
67.26,-35.51,EF
27.93,-82.22,Cfa
74.49,-56.61,ET
51.85,-110.98,Dfb
63.15,-119.78,Dfc
66.15,-40.32,EF
36.51,-88.19,Cfa
52.81,-122.53,Dfc
81.32,-11.9,ET
69.29,-82.28,ET
48.96,-122.3,Csb
64.47,-89.43,ET
70.04,-112.49,ET
41.32,-98.58,Dfa
68.34,-67.88,ET
63.42,-48.77,EF
75.85,-94.89,ET
63.34,-44.23,EF
38.03,-90.86,Cfa
20.12,-97.59,Am
41.09,-120.67,Dsb
61.77,-131.52,Dfc
61.55,-164.44,Dsc
47.45,-70.5,Dfb
54.31,-84.92,Dfc
69.23,-139.65,ET
80.93,-86.92,EF
66.99,-152.46,Dfc
80.51,-24.11,EF
78.93,-100.95,ET
64.35,-135.55,Dfc
45.46,-87.99,Dfb
46.46,-76.71,Dfb
70.81,-27.31,EF
72.03,-95.37,ET
61.32,-146.22,ET
58.53,-123.87,Dfc
64.12,-65.5,ET
80.32,-79.88,ET
66.65,-93.96,ET
44.88,-64.63,Dfb
65.14,-146.51,Dfc
32.78,-80.44,Cfa
53.49,-115.4,Dfc
33.64,-108.61,Cfb
64.52,-71.68,ET
53.82,-100.08,Dfb
21.59,-104.86,Csb
54.69,-94.25,Dfc
14.54,-90.83,Aw
51.07,-91.85,Dfc
39.23,-84.27,Cfa
60.43,-114.54,Dfc
51.11,-60.54,Dfc
35.57,-96.67,Cfa
72.23,-48.4,EF
81.73,-57.96,ET
67.52,-104.98,ET
47.61,-106.01,BSk
81.97,-63.17,ET
69.91,-147.96,ET
56.4,-107.47,Dfc
44.74,-72.99,Dfb
65.14,-96.15,Dfc
47.04,-108.97,BSk
81.54,-54.6,ET
69.15,-120.06,ET
62.21,-102.9,Dfc
50.34,-117.84,Dfb
70.6,-72.45,ET
59.1,-107.79,Dfc
33.84,-92.88,Cfa
58.44,-72.29,ET
26.61,-104.07,BWh
57.12,-114.59,Dfc
42.43,-116.36,Dsb
59.58,-102.87,Dfc
62.7,-107.98,Dfc
68.87,-30.37,EF
32.61,-105.33,BSk
69.39,-85.84,ET
